transaction_id,account_id,transaction_date,transaction_type,amount,merchant,channel,description
TXN0000035,1122,2026-01-16T20:24:17,FEE,-30.68,Home Depot,WIRE,Wire transfer
TXN0000036,1108,2025-05-20T14:36:05,DEPOSIT,2618.42,Amazon,ONLINE,ATM cash out
TXN0000037,1068,2026-03-21T23:36:20,WITHDRAWAL,-1967.39,Home Depot,ONLINE,Wire transfer
TXN0000038,1052,2025-10-22T18:29:11,FEE,-6.45,,ONLINE,Recurring charge
TXN0000039,1143,2025-11-14T10:08:27,WITHDRAWAL,-1489.98,Whole Foods,ATM,Online purchase
TXN0000040,1097,2025-08-29T10:08:46,PAYMENT,-250.3,Kroger,WIRE,Online purchase
TXN0000041,1003,2026-03-30T03:55:34,INTEREST,1264.19,Costco,BRANCH,ATM cash out
TXN0000042,1094,2026-02-05T12:41:34,FEE,-29.6,Costco,MOBILE,Wire transfer
TXN0000043,1114,2025-07-06T11:53:16,WITHDRAWAL,-1967.24,Walmart,WIRE,Monthly subscription
TXN0000044,1096,2025-07-01T11:57:56,DEPOSIT,2148.25,Whole Foods,WIRE,Wire transfer
TXN0000045,1001,2025-06-29T02:53:37,TRANSFER,-101.01,,ONLINE,Direct deposit
TXN0000046,1082,2025-12-28T20:50:23,FEE,-7.29,,WIRE,Wire transfer
TXN0000047,1125,2025-08-31T10:39:38,FEE,-29.76,Walmart,WIRE,ATM cash out
TXN0000048,1047,2025-11-26T21:52:26,FEE,-8.07,Whole Foods,WIRE,Interest credit
TXN0000049,1023,2025-09-05T13:45:49,TRANSFER,-836.41,Shell,ATM,Wire transfer
TXN0000050,1055,2026-01-07T03:54:56,FEE,-28.87,Whole Foods,ONLINE,Monthly subscription
TXN0000051,1088,2025-12-27T05:22:01,PAYMENT,-778.96,Home Depot,MOBILE,Online purchase
TXN0000052,1082,2025-11-25T19:22:36,PAYMENT,1247.8,Walmart,ATM,Online purchase
TXN0000053,1132,2025-05-17T00:43:37,TRANSFER,42.93,Whole Foods,ATM,ATM cash out
TXN0000054,1082,2026-02-24T07:51:03,FEE,-8.71,Walmart,WIRE,Card swipe
TXN0000055,1001,2025-07-21T18:56:10,INTEREST,336.7,Home Depot,BRANCH,Monthly subscription
TXN0000056,1052,2026-02-11T22:06:58,FEE,-42.29,,BRANCH,Monthly subscription
TXN0000057,1039,2025-05-28T10:43:16,DEPOSIT,2301.53,  APPLE  ,ONLINE,Direct deposit
TXN0000058,1064,2025-07-27T09:48:39,FEE,-8.17,,ATM,Interest credit
TXN0000059,1099,2025-09-28T06:25:13,PAYMENT,390.65,Netflix,ONLINE,Card swipe
TXN0000060,1001,2025-12-13T10:15:44,INTEREST,3604.23,Walmart,ONLINE,Monthly subscription
TXN0000061,1091,2025-12-21T13:36:12,FEE,-9.78,Kroger,ONLINE,Wire transfer
TXN0000062,1112,2025-06-29T17:02:25,PAYMENT,-314.66,  HOME DEPOT  ,WIRE,ATM cash out
TXN0000063,1034,2025-08-22T13:23:54,INTEREST,1961.05,Kroger,MOBILE,Wire transfer
TXN0000064,1095,2025-05-16T05:21:14,DEPOSIT,2772.09,Whole Foods,ONLINE,Recurring charge
TXN0000065,1100,2026-02-14T14:37:46,FEE,-29.64,Walmart,ATM,ATM cash out
TXN0000066,1105,2025-07-24T17:53:34,INTEREST,4258.78,Target,WIRE,Wire transfer
TXN0000067,1049,2025-05-21T02:56:08,DEPOSIT,914.98,Kroger,WIRE,Bill payment
TXN0000068,1140,2025-07-15T16:03:55,DEPOSIT,1460.36,Walmart,WIRE,Bill payment
TXN0000069,1084,2025-08-18T17:40:14,TRANSFER,-1115.35,Home Depot,WIRE,Monthly subscription
TXN0000070,1049,2025-08-26T17:06:07,TRANSFER,-42.42,Apple,WIRE,Direct deposit
TXN0000071,1144,2025-07-04T11:50:03,FEE,-21.4,Apple,ONLINE,Service fee
TXN0000072,1063,2026-03-22T06:23:35,WITHDRAWAL,-1430.15,Home Depot,ATM,Direct deposit
TXN0000073,1084,2025-11-05T02:54:08,PAYMENT,-111.45,Apple,WIRE,Monthly subscription
TXN0000074,1044,2025-08-16T23:31:48,INTEREST,3037.07,,MOBILE,Card swipe
TXN0000075,1050,2025-05-29T06:46:42,TRANSFER,700.63,Home Depot,ONLINE,Card swipe
TXN0000076,1007,2026-04-16T23:21:41,FEE,-31.05,Kroger,ONLINE,Card swipe
TXN0000077,1066,2026-02-25T01:21:43,FEE,-45.23,Whole Foods,MOBILE,Service fee
TXN0000078,1100,2025-08-21T00:18:31,WITHDRAWAL,-1785.05,Costco,MOBILE,Bill payment
TXN0000079,1128,2026-01-12T08:36:40,FEE,-9.07,Apple,MOBILE,Recurring charge
TXN0000080,1042,2025-12-05T17:45:18,FEE,-11.32,Target,MOBILE,Bill payment
TXN0000081,1091,2025-08-10T15:59:12,DEPOSIT,1101.91,Uber,ATM,ATM cash out
TXN0000082,1010,2026-03-03T08:56:46,INTEREST,1041.8,,ATM,Interest credit
TXN0000083,1120,2025-09-02T20:33:42,PAYMENT,1144.66,Amazon,ONLINE,Card swipe
TXN0000084,1070,2025-09-23T06:43:17,INTEREST,1323.95,Whole Foods,BRANCH,Service fee
TXN0000085,1019,2025-07-25T13:34:17,FEE,-16.32,,WIRE,Interest credit
TXN0000086,1090,2025-05-02T13:29:41,TRANSFER,-39.42,Uber,WIRE,Direct deposit
TXN0000087,1112,2025-07-21T03:28:56,WITHDRAWAL,-475.38,Whole Foods,MOBILE,Direct deposit
TXN0000088,1040,2025-06-14T22:55:03,TRANSFER,306.06,,MOBILE,Interest credit
TXN0000089,1084,2025-07-20T19:54:11,INTEREST,575.56,Home Depot,WIRE,Direct deposit
TXN0000090,1105,2025-07-01T13:49:56,DEPOSIT,1225.91,Target,MOBILE,Card swipe
TXN0000091,1010,2025-07-08T22:04:17,FEE,-11.61,Target,WIRE,Interest credit
TXN0000092,1144,2026-03-14T23:06:06,INTEREST,102.91,CVS,ATM,Monthly subscription
TXN0000093,1055,2025-07-05T05:47:51,PAYMENT,319.58,Uber,MOBILE,Interest credit
TXN0000094,1036,2025-11-14T09:02:48,FEE,-41.92,Target,ATM,Direct deposit
TXN0000095,1087,2025-09-26T16:45:54,PAYMENT,289.6,Walmart,MOBILE,Monthly subscription
TXN0000096,1004,2025-11-11T20:58:17,WITHDRAWAL,-1054.97,,BRANCH,Direct deposit
TXN0000097,1024,2026-04-05T21:14:51,WITHDRAWAL,-962.22,Costco,WIRE,Card swipe
TXN0000098,1030,2025-11-25T10:30:34,DEPOSIT,2416.38,Target,ONLINE,Interest credit
TXN0000099,1133,2025-10-13T14:09:43,PAYMENT,-388.87,Amazon,MOBILE,Bill payment
TXN0000100,1097,2026-03-21T03:10:52,TRANSFER,267.14,CVS,WIRE,Monthly subscription
TXN0000101,1108,2026-03-29T14:57:23,WITHDRAWAL,-523.95,Kroger,ONLINE,Wire transfer
TXN0000102,1139,2026-03-02T13:57:03,PAYMENT,-726.59,Amazon,ONLINE,Recurring charge
TXN0000103,1133,2026-01-22T02:27:02,DEPOSIT,2603.61,Netflix,ATM,Interest credit
TXN0000104,1092,2025-08-09T11:31:10,DEPOSIT,782.35,Home Depot,WIRE,Interest credit
TXN0000105,1144,2025-07-18T02:33:45,TRANSFER,335.64,Home Depot,BRANCH,Card swipe
TXN0000106,1142,2025-08-06T13:22:44,PAYMENT,-963.84,Whole Foods,ATM,Recurring charge
TXN0000107,1088,2026-01-11T00:57:41,INTEREST,1996.67,Target,ONLINE,ATM cash out
TXN0000108,1114,2025-10-02T13:29:53,INTEREST,4746.73,Walmart,ATM,Card swipe
TXN0000109,1013,2025-06-04T09:00:25,WITHDRAWAL,-790.43,  HOME DEPOT  ,MOBILE,Bill payment
TXN0000110,1111,2025-12-22T12:33:37,DEPOSIT,329.76,Shell,ONLINE,Interest credit
TXN0000111,1102,2025-12-18T00:50:52,FEE,-34.53,Starbucks,ONLINE,Direct deposit
TXN0000112,1126,2026-01-10T02:36:16,PAYMENT,-1467.87,,WIRE,Wire transfer
TXN0000113,1049,2025-07-28T23:19:47,DEPOSIT,3921.96,Whole Foods,WIRE,Direct deposit
TXN0000114,1009,2025-06-02T17:26:01,TRANSFER,-782.23,Amazon,ATM,Interest credit
TXN0000115,1090,2025-05-05T23:13:34,INTEREST,1981.76,Costco,ONLINE,Monthly subscription
TXN0000116,1140,2025-09-12T04:28:58,TRANSFER,678.42,Whole Foods,ATM,Wire transfer
TXN0000117,1057,2025-12-09T06:31:08,FEE,-48.34,Uber,ONLINE,Wire transfer
TXN0000118,1044,2025-08-22T06:37:32,PAYMENT,18.71,Whole Foods,ATM,Monthly subscription
TXN0000119,1131,2026-03-04T02:55:25,TRANSFER,1128.34,,WIRE,Wire transfer
TXN0000120,1113,2025-09-08T21:52:03,PAYMENT,189.51,Kroger,BRANCH,Bill payment
TXN0000121,1007,2026-03-02T06:48:24,PAYMENT,-1151.2,Walmart,MOBILE,ATM cash out
TXN0000122,1080,2026-01-27T04:06:08,PAYMENT,1366.34,Whole Foods,ATM,ATM cash out
TXN0000123,1073,2025-05-29T12:38:23,DEPOSIT,2000.66,CVS,WIRE,Direct deposit
TXN0000124,1121,2025-12-08T19:23:21,TRANSFER,-439.39,,ATM,Direct deposit
TXN0000125,1048,2026-04-03T22:32:58,PAYMENT,711.34,Shell,ATM,ATM cash out
TXN0000126,1058,2025-12-26T05:44:27,WITHDRAWAL,-1673.18,,ATM,Direct deposit
TXN0000127,1027,2025-11-07T07:58:09,DEPOSIT,4601.74,Home Depot,WIRE,Online purchase
TXN0000128,1138,2025-11-07T04:56:41,DEPOSIT,4241.57,Apple,WIRE,Wire transfer
TXN0000129,1125,2025-11-14T12:06:38,WITHDRAWAL,-1969.1,,ATM,Interest credit
TXN0000130,1056,2025-11-01T18:15:58,FEE,-10.77,Whole Foods,WIRE,Online purchase
TXN0000131,1128,2025-10-24T13:22:33,TRANSFER,-318.85,Home Depot,ONLINE,Card swipe
TXN0000132,1117,2025-09-24T08:31:31,TRANSFER,567.63,Amazon,WIRE,Monthly subscription
TXN0000133,1083,2025-08-10T01:55:50,TRANSFER,338.33,Starbucks,MOBILE,Wire transfer
TXN0000134,1120,2025-07-20T18:18:17,FEE,-20.44,Target,BRANCH,Service fee
TXN0000135,1093,2025-12-09T15:42:33,PAYMENT,-661.11,Target,MOBILE,Monthly subscription
TXN0000136,1069,2025-09-24T22:05:25,WITHDRAWAL,-1119.57,,MOBILE,Direct deposit
TXN0000137,1038,2025-06-21T05:22:00,PAYMENT,917.01,Target,WIRE,Card swipe
TXN0000138,1080,2025-05-18T12:40:58,PAYMENT,-599.9,Whole Foods,BRANCH,Monthly subscription
TXN0000139,1041,2025-12-30T14:44:28,DEPOSIT,1085.18,Starbucks,ONLINE,Bill payment
TXN0000140,1085,2026-03-10T13:53:42,TRANSFER,-417.11,Whole Foods,ATM,Service fee
TXN0000141,1005,2026-01-18T22:11:57,PAYMENT,-1136.29,,WIRE,ATM cash out
TXN0000142,1147,2026-02-27T01:00:28,FEE,-34.24,Whole Foods,ATM,Service fee
TXN0000143,1083,2026-04-10T11:58:31,INTEREST,2557.12,Kroger,ONLINE,Interest credit
TXN0000144,1073,2026-01-03T18:38:39,PAYMENT,395.14,Target,ATM,Interest credit
TXN0000145,1146,2025-09-10T10:49:18,PAYMENT,1046.7,Walmart,MOBILE,Service fee
TXN0000146,1081,2025-09-30T13:54:38,INTEREST,1463.87,Starbucks,ATM,Bill payment
TXN0000147,1092,2025-07-10T09:56:36,INTEREST,2938.73,Uber,ONLINE,Direct deposit
TXN0000148,1060,2025-05-31T02:15:26,INTEREST,1265.72,CVS,MOBILE,Direct deposit
TXN0000149,1101,2026-04-06T05:59:36,DEPOSIT,486.81,,BRANCH,Card swipe
TXN0000150,1013,2025-06-01T07:57:26,DEPOSIT,3856.96,Whole Foods,ONLINE,Wire transfer
TXN0000151,1039,2025-09-28T09:37:48,DEPOSIT,3277.62,,ATM,ATM cash out
TXN0000152,1063,2025-11-20T13:35:39,INTEREST,1428.03,Home Depot,MOBILE,Online purchase
TXN0000153,1008,2025-09-03T07:05:45,INTEREST,1790.64,,BRANCH,Bill payment
TXN0000154,1138,2026-01-25T22:18:59,TRANSFER,145.64,Target,WIRE,Direct deposit
TXN0000155,1116,2025-12-05T00:42:59,INTEREST,3747.07,,BRANCH,Card swipe
TXN0000156,1136,2026-03-08T12:25:12,TRANSFER,1226.77,Uber,ONLINE,Bill payment
TXN0000157,1078,2025-04-30T00:51:38,TRANSFER,-263.39,Target,WIRE,Direct deposit
TXN0000158,1088,2025-11-07T01:08:07,TRANSFER,-92.41,Amazon,BRANCH,Wire transfer
TXN0000159,1002,2025-05-02T19:16:35,PAYMENT,893.89,Costco,WIRE,Service fee
TXN0000160,1048,2025-07-02T09:46:55,PAYMENT,1146.49,Netflix,BRANCH,Interest credit
TXN0000161,1056,2026-02-20T22:00:48,TRANSFER,-1262.37,Home Depot,WIRE,Wire transfer
TXN0000162,1072,2025-07-12T00:17:34,INTEREST,3717.21,Kroger,ONLINE,Direct deposit
TXN0000163,1034,2025-08-13T16:28:26,TRANSFER,-1168.93,Uber,WIRE,Bill payment
TXN0000164,1048,2025-05-08T14:16:29,TRANSFER,-1441.81,Amazon,MOBILE,Monthly subscription
TXN0000165,1072,2025-07-29T09:57:04,TRANSFER,-1124.88,Uber,ONLINE,Direct deposit
TXN0000166,1003,2026-03-06T11:31:45,PAYMENT,-848.44,Netflix,BRANCH,Service fee
TXN0000167,1118,2026-02-15T11:48:55,INTEREST,3959.21,Apple,MOBILE,Online purchase
TXN0000168,1068,2026-04-12T20:31:10,PAYMENT,-1285.85,Uber,ATM,Interest credit
TXN0000169,1003,2026-02-23T12:20:27,DEPOSIT,4873.25,CVS,BRANCH,ATM cash out
TXN0000170,1008,2026-01-13T15:38:36,WITHDRAWAL,-932.45,Kroger,MOBILE,Bill payment
TXN0000171,1099,2025-09-02T11:10:01,INTEREST,4806.46,,MOBILE,Online purchase
TXN0000172,1140,2025-07-16T04:14:18,FEE,-10.5,Uber,ATM,Online purchase
TXN0000173,1055,2025-07-03T23:54:41,DEPOSIT,1187.47,Netflix,ATM,Recurring charge
TXN0000174,1030,2025-12-11T16:01:49,PAYMENT,867.43,Amazon,BRANCH,Recurring charge
TXN0000175,1039,2025-06-04T11:55:27,TRANSFER,812.39,Shell,WIRE,Service fee
TXN0000176,1015,2026-03-03T09:00:00,DEPOSIT,1784.03,Target,ONLINE,Direct deposit
TXN0000177,1124,2026-02-17T20:55:55,WITHDRAWAL,-647.14,Whole Foods,ATM,Bill payment
TXN0000178,1049,2025-08-05T08:39:29,DEPOSIT,3449.36,Apple,ONLINE,Bill payment
TXN0000179,1112,2025-12-06T02:02:34,FEE,-18.26,CVS,MOBILE,Card swipe
TXN0000180,1089,2025-12-18T12:06:05,TRANSFER,697.21,Starbucks,WIRE,Direct deposit
TXN0000181,1017,2025-11-26T08:08:00,FEE,-11.98,Starbucks,ATM,Bill payment
TXN0000182,1000,2025-05-07T06:28:54,INTEREST,2534.73,CVS,WIRE,Service fee
TXN0000183,1061,2026-03-14T02:05:48,TRANSFER,663.01,Home Depot,BRANCH,ATM cash out
TXN0000184,1134,2025-08-17T22:57:15,INTEREST,2492.77,Whole Foods,ATM,Interest credit
TXN0000185,1082,2026-03-20T08:33:58,DEPOSIT,490.32,Home Depot,MOBILE,Direct deposit
TXN0000186,1008,2025-12-07T18:13:09,WITHDRAWAL,-231.97,Shell,BRANCH,Bill payment
TXN0000187,1134,2025-07-24T17:17:07,FEE,-36.56,  STARBUCKS  ,WIRE,Monthly subscription
TXN0000188,1003,2026-04-10T13:13:57,WITHDRAWAL,-1318.38,,ONLINE,Bill payment
TXN0000189,1015,2025-10-08T12:57:53,TRANSFER,174.06,,ATM,Online purchase
TXN0000190,1068,2025-05-30T06:24:37,FEE,-6.83,Walmart,MOBILE,Card swipe
TXN0000191,1024,2025-07-14T00:00:13,DEPOSIT,3628.61,Whole Foods,WIRE,ATM cash out
TXN0000192,1145,2025-10-08T05:48:03,INTEREST,4738.04,Whole Foods,ONLINE,Recurring charge
TXN0000193,1091,2025-06-09T10:18:16,INTEREST,2299.02,Home Depot,MOBILE,Direct deposit
TXN0000194,1140,2025-12-18T23:37:11,PAYMENT,14.08,Home Depot,BRANCH,Service fee
TXN0000195,1080,2025-10-07T03:19:04,FEE,-49.62,Apple,BRANCH,Service fee
TXN0000196,1061,2026-04-24T16:18:53,FEE,-29.55,Netflix,ATM,Service fee
TXN0000197,1115,2025-08-18T11:33:57,PAYMENT,1379.47,Amazon,WIRE,Online purchase
TXN0000198,1132,2025-07-25T04:08:02,WITHDRAWAL,-1986.96,  STARBUCKS  ,MOBILE,Service fee
TXN0000199,1005,2025-12-01T00:30:52,INTEREST,4113.46,,WIRE,Card swipe
TXN0000200,1146,2025-06-29T15:01:25,FEE,-11.96,Amazon,MOBILE,Wire transfer
TXN0000201,1093,2025-06-04T16:37:04,FEE,-16.24,Starbucks,WIRE,Interest credit
TXN0000202,1145,2025-11-03T09:32:06,WITHDRAWAL,-1473.85,CVS,MOBILE,Bill payment
TXN0000203,1147,2026-03-09T22:17:08,DEPOSIT,2980.2,  STARBUCKS  ,WIRE,Interest credit
TXN0000204,1020,2026-03-13T08:18:45,DEPOSIT,4610.14,Apple,BRANCH,Interest credit
TXN0000205,1030,2025-12-19T21:51:29,WITHDRAWAL,-1500.4,,ONLINE,Interest credit
TXN0000206,1013,2025-06-27T02:11:12,TRANSFER,73.15,Apple,ATM,Card swipe
TXN0000207,1056,2025-10-20T01:26:39,WITHDRAWAL,-120.03,CVS,WIRE,Recurring charge
TXN0000208,1129,2025-06-26T11:34:32,DEPOSIT,1118.21,Starbucks,MOBILE,Service fee
TXN0000209,1021,2025-08-09T23:13:03,PAYMENT,214.32,Amazon,ONLINE,Interest credit
TXN0000210,1128,2025-11-02T18:31:21,PAYMENT,821.48,Target,WIRE,ATM cash out
TXN0000211,1124,2026-02-09T16:55:13,PAYMENT,456.75,Shell,WIRE,ATM cash out
TXN0000212,1062,2026-04-23T21:35:28,DEPOSIT,1338.62,Netflix,WIRE,Monthly subscription
TXN0000213,1028,2025-09-01T13:29:53,INTEREST,2073.77,Apple,ATM,Recurring charge
TXN0000214,1006,2026-03-07T18:36:04,TRANSFER,-992.23,Apple,BRANCH,Recurring charge
TXN0000215,1037,2025-07-29T16:16:50,PAYMENT,-1365.37,,MOBILE,Service fee
TXN0000216,1039,2025-08-02T09:22:27,INTEREST,4265.29,Walmart,WIRE,Direct deposit
TXN0000217,1073,2025-10-21T18:52:40,DEPOSIT,1722.92,Kroger,BRANCH,Online purchase
TXN0000218,1084,2025-11-19T05:11:29,WITHDRAWAL,-1485.23,Shell,ATM,Card swipe
TXN0000219,1123,2026-01-14T12:38:24,FEE,-37.85,Target,ONLINE,Interest credit
TXN0000220,1149,2025-08-18T07:11:53,INTEREST,2638.73,Starbucks,MOBILE,Recurring charge
TXN0000221,1069,2026-01-11T11:07:15,DEPOSIT,2330.15,Amazon,ATM,Service fee
TXN0000222,1027,2026-01-07T04:57:02,DEPOSIT,1469.55,,BRANCH,ATM cash out
TXN0000223,1097,2025-11-04T05:22:43,FEE,-48.95,Walmart,WIRE,Card swipe
TXN0000224,1022,2026-01-31T16:41:39,WITHDRAWAL,-413.77,Uber,ONLINE,Online purchase
TXN0000225,1063,2025-06-29T23:23:42,FEE,-18.72,Uber,ONLINE,Service fee
TXN0000226,1090,2025-11-10T16:00:08,TRANSFER,375.69,Shell,ATM,Online purchase
TXN0000227,1065,2025-05-11T10:38:31,PAYMENT,1171.21,,WIRE,Wire transfer
TXN0000228,1057,2025-06-03T02:18:31,WITHDRAWAL,-696.74,Netflix,BRANCH,Card swipe
TXN0000229,1058,2025-08-29T07:37:06,PAYMENT,-778.92,Target,WIRE,Service fee
TXN0000230,1114,2025-11-26T05:47:00,FEE,-10.93,Home Depot,MOBILE,Direct deposit
TXN0000231,1079,2025-10-14T00:29:23,INTEREST,3528.63,Whole Foods,MOBILE,Recurring charge
TXN0000232,1040,2025-06-14T23:26:58,TRANSFER,-1296.56,Whole Foods,MOBILE,Service fee
TXN0000233,1037,2025-10-07T19:08:02,INTEREST,157.12,Apple,BRANCH,Wire transfer
TXN0000234,1113,2026-01-02T07:50:52,INTEREST,4669.5,,ATM,Direct deposit
TXN0000235,1048,2025-12-23T16:04:54,DEPOSIT,666.41,Amazon,WIRE,Wire transfer
TXN0000236,1145,2025-05-10T03:07:30,FEE,-15.39,Shell,ATM,Monthly subscription
TXN0000237,1122,2026-01-07T06:25:03,WITHDRAWAL,-1014.6,Costco,ATM,Direct deposit
TXN0000238,1099,2025-05-12T12:24:04,PAYMENT,-78.46,Target,BRANCH,Online purchase
TXN0000239,1069,2026-02-18T06:59:23,PAYMENT,-832.34,Home Depot,MOBILE,Monthly subscription
TXN0000240,1045,2026-04-01T14:55:39,PAYMENT,1101.39,Uber,BRANCH,ATM cash out
TXN0000241,1109,2025-09-24T17:20:39,PAYMENT,828.64,Costco,ATM,Interest credit
TXN0000242,1146,2026-03-01T14:37:29,FEE,-29.13,Home Depot,ONLINE,Card swipe
TXN0000243,1027,2025-05-16T11:20:41,PAYMENT,-129.3,,MOBILE,Card swipe
TXN0000244,1137,2025-11-16T10:38:57,PAYMENT,1451.49,Amazon,ONLINE,ATM cash out
TXN0000245,1074,2025-08-19T00:55:01,PAYMENT,-305.88,Starbucks,BRANCH,Direct deposit
TXN0000246,1108,2026-04-15T22:52:03,TRANSFER,339.4,Amazon,MOBILE,Bill payment
TXN0000247,1115,2025-12-13T08:46:05,DEPOSIT,3616.01,Walmart,WIRE,Direct deposit
TXN0000248,1100,2025-12-15T06:08:20,PAYMENT,-529.62,Amazon,MOBILE,Bill payment
TXN0000249,1023,2026-03-05T07:47:22,TRANSFER,-527.78,Home Depot,MOBILE,Monthly subscription
TXN0000250,1023,2025-11-19T10:19:52,DEPOSIT,3534.07,Home Depot,BRANCH,Card swipe
TXN0000251,1040,2026-04-19T06:48:43,PAYMENT,151.04,Amazon,ATM,Recurring charge
TXN0000252,1038,2025-05-19T22:14:54,WITHDRAWAL,-1740.26,Target,BRANCH,Wire transfer
TXN0000253,1079,2025-07-09T04:12:32,INTEREST,3845.47,Uber,ONLINE,Direct deposit
TXN0000254,1051,2025-11-09T06:13:31,DEPOSIT,3116.58,  STARBUCKS  ,BRANCH,Card swipe
TXN0000255,1001,2026-01-11T02:42:42,FEE,-44.72,Shell,BRANCH,Bill payment
TXN0000256,1104,2026-04-07T14:24:01,PAYMENT,-1261.79,  COSTCO  ,WIRE,Wire transfer
TXN0000257,1142,2025-09-12T13:06:02,WITHDRAWAL,-116.86,Target,ONLINE,Direct deposit
TXN0000258,1008,2026-04-22T10:36:25,INTEREST,2894.68,Costco,ONLINE,Online purchase
TXN0000259,1027,2025-12-23T07:46:09,PAYMENT,1481.21,Target,WIRE,Recurring charge
TXN0000260,1143,2026-04-26T18:01:16,WITHDRAWAL,-1933.26,CVS,ONLINE,Monthly subscription
TXN0000261,1076,2026-02-18T13:11:30,TRANSFER,-394.29,Netflix,BRANCH,Card swipe
TXN0000262,1016,2025-08-14T13:45:58,TRANSFER,-87.55,Walmart,ATM,Card swipe
TXN0000263,1105,2025-06-11T10:46:14,FEE,-14.44,Shell,WIRE,Card swipe
TXN0000264,1022,2026-01-29T11:54:21,PAYMENT,672.22,Costco,ATM,Interest credit
TXN0000265,1081,2025-06-19T09:00:50,TRANSFER,76.17,Costco,WIRE,Recurring charge
TXN0000266,1127,2025-07-08T20:51:24,FEE,-37.81,Uber,WIRE,ATM cash out
TXN0000267,1074,2026-03-05T10:05:08,WITHDRAWAL,-23.13,Amazon,ONLINE,ATM cash out
TXN0000268,1106,2026-01-02T13:57:49,PAYMENT,-1363.52,Apple,MOBILE,Online purchase
TXN0000269,1051,2025-08-24T14:50:58,INTEREST,1415.32,Kroger,WIRE,Card swipe
TXN0000270,1082,2026-02-05T07:51:57,DEPOSIT,578.05,Apple,WIRE,Recurring charge
TXN0000271,1007,2025-09-08T05:47:59,WITHDRAWAL,-404.15,,BRANCH,Bill payment
TXN0000272,1009,2026-04-11T10:35:10,INTEREST,687.41,Target,WIRE,Service fee
